"","age","job","marital","housing","contact","month","day_of_week","campaign","pdays","previous","poutcome","cons.price.idx","cons.conf.idx","euribor3m","nr.employed","y"
"42",38,"blue-collar","married","unknown","telephone","jun","fri",1,999,0,"nonexistent",94.465,-41.8,4.967,5228.1,"no"
"43",76,"retired","married","no","cellular","aug","thu",1,999,1,"failure",94.027,-38.3,0.899,4991.6,"no"
"44",45,"entrepreneur","divorced","yes","cellular","jul","tue",3,999,0,"nonexistent",93.918,-42.7,4.961,5228.1,"no"
"45",32,"housemaid","married","yes","cellular","may","fri",1,999,0,"nonexistent",92.893,-46.2,1.313,5099.1,"no"
"46",39,"management","single","no","cellular","may","thu",2,999,0,"nonexistent",92.893,-46.2,1.327,5099.1,"no"
"47",32,"admin.","married","no","telephone","nov","thu",1,999,0,"nonexistent",93.2,-42,4.592,5195.8,"no"
"48",29,"admin.","single","no","cellular","may","mon",2,999,0,"nonexistent",92.893,-46.2,1.299,5099.1,"no"
"49",44,"services","married","no","cellular","aug","mon",2,999,0,"nonexistent",93.444,-36.1,4.97,5228.1,"no"
"50",32,"services","married","no","cellular","jul","fri",3,999,0,"nonexistent",93.918,-42.7,4.957,5228.1,"no"
"51",56,"retired","married","yes","cellular","jun","wed",1,999,2,"failure",92.963,-40.8,1.26,5076.2,"no"
"52",33,"blue-collar","married","yes","cellular","may","thu",1,999,0,"nonexistent",92.893,-46.2,1.327,5099.1,"no"
"53",39,"management","married","no","cellular","aug","fri",3,999,0,"nonexistent",93.444,-36.1,4.966,5228.1,"no"
"54",24,"technician","married","yes","cellular","sep","tue",2,3,1,"success",92.379,-29.8,0.77,5017.5,"yes"
"55",33,"admin.","single","yes","cellular","may","thu",1,999,0,"nonexistent",92.893,-46.2,1.327,5099.1,"no"
"56",58,"entrepreneur","divorced","no","telephone","jun","thu",2,999,0,"nonexistent",94.465,-41.8,4.866,5228.1,"no"
"57",29,"admin.","single","yes","telephone","jun","fri",27,999,0,"nonexistent",94.465,-41.8,4.959,5228.1,"no"
"58",31,"admin.","married","yes","cellular","aug","thu",1,999,0,"nonexistent",93.444,-36.1,4.964,5228.1,"no"
"59",27,"admin.","married","no","telephone","may","wed",5,999,0,"nonexistent",93.994,-36.4,4.857,5191,"no"
"60",60,"admin.","divorced","yes","cellular","sep","wed",1,999,1,"failure",94.199,-37.5,0.886,4963.6,"yes"
"61",55,"entrepreneur","married","yes","cellular","oct","mon",1,999,2,"failure",92.431,-26.9,0.739,5017.5,"no"
"62",37,"blue-collar","married","yes","cellular","may","wed",2,999,0,"nonexistent",92.893,-46.2,1.334,5099.1,"no"
"63",52,"admin.","married","yes","telephone","apr","wed",1,6,1,"success",93.749,-34.6,0.654,5008.7,"yes"
"64",46,"services","married","yes","cellular","apr","mon",1,999,0,"nonexistent",93.075,-47.1,1.405,5099.1,"no"
"65",42,"blue-collar","divorced","yes","cellular","may","wed",2,999,0,"nonexistent",92.893,-46.2,1.281,5099.1,"no"
"66",35,"admin.","single","yes","cellular","jul","mon",3,999,0,"nonexistent",93.918,-42.7,4.96,5228.1,"no"
"67",49,"technician","divorced","yes","cellular","oct","thu",1,999,0,"nonexistent",92.431,-26.9,0.754,5017.5,"no"
"68",29,"services","divorced","no","telephone","jun","mon",3,999,0,"nonexistent",94.465,-41.8,4.865,5228.1,"no"
"69",32,"blue-collar","married","no","cellular","nov","mon",2,5,1,"success",93.2,-42,4.191,5195.8,"yes"
"70",37,"self-employed","married","no","cellular","may","fri",1,999,1,"failure",92.893,-46.2,1.313,5099.1,"no"
"71",39,"technician","single","no","telephone","jun","mon",4,999,0,"nonexistent",94.465,-41.8,4.865,5228.1,"yes"
"72",51,"services","married","yes","telephone","jul","mon",3,999,0,"nonexistent",93.918,-42.7,4.962,5228.1,"yes"
"73",28,"admin.","single","yes","cellular","may","tue",3,999,0,"nonexistent",92.893,-46.2,1.291,5099.1,"no"
"74",34,"management","married","yes","cellular","may","wed",4,999,0,"nonexistent",92.893,-46.2,1.281,5099.1,"no"
"75",31,"technician","single","yes","cellular","aug","tue",1,999,0,"nonexistent",93.444,-36.1,4.966,5228.1,"yes"
"76",31,"admin.","married","yes","cellular","aug","thu",5,999,0,"nonexistent",93.444,-36.1,4.962,5228.1,"no"
"77",31,"admin.","single","yes","telephone","jun","wed",2,999,0,"nonexistent",94.465,-41.8,4.864,5228.1,"no"
"78",38,"self-employed","single","no","telephone","may","thu",2,999,0,"nonexistent",93.994,-36.4,4.855,5191,"no"
"79",33,"unemployed","married","no","telephone","jun","fri",6,999,0,"nonexistent",94.465,-41.8,4.959,5228.1,"no"
"80",32,"technician","single","no","cellular","aug","tue",12,999,0,"nonexistent",93.444,-36.1,4.966,5228.1,"no"
"81",54,"technician","married","yes","cellular","apr","mon",1,999,0,"nonexistent",93.075,-47.1,1.405,5099.1,"no"
"82",41,"admin.","divorced","yes","telephone","jun","tue",2,999,0,"nonexistent",94.465,-41.8,4.961,5228.1,"no"
"83",59,"services","married","no","cellular","aug","thu",7,999,0,"nonexistent",93.444,-36.1,4.963,5228.1,"no"
"84",57,"retired","married","yes","cellular","apr","thu",1,2,1,"success",93.075,-47.1,1.365,5099.1,"no"
"85",38,"entrepreneur","divorced","yes","cellular","nov","thu",1,999,0,"nonexistent",93.2,-42,4.076,5195.8,"no"
"86",46,"admin.","married","yes","telephone","may","tue",1,999,0,"nonexistent",93.994,-36.4,4.857,5191,"no"
"87",37,"unemployed","single","yes","cellular","nov","tue",1,999,0,"nonexistent",93.2,-42,4.153,5195.8,"no"
"88",47,"services","single","unknown","telephone","jun","thu",3,999,0,"nonexistent",94.465,-41.8,4.961,5228.1,"yes"
"89",45,"admin.","single","no","cellular","aug","thu",1,999,0,"nonexistent",93.444,-36.1,4.964,5228.1,"yes"
"90",36,"blue-collar","married","yes","telephone","jul","wed",1,999,0,"nonexistent",93.918,-42.7,4.962,5228.1,"no"
"91",40,"unemployed","single","yes","cellular","jul","mon",5,999,0,"nonexistent",93.918,-42.7,4.96,5228.1,"no"
"92",38,"blue-collar","married","no","cellular","nov","tue",2,999,1,"failure",93.2,-42,4.153,5195.8,"no"
"93",44,"blue-collar","married","no","telephone","jun","tue",2,999,0,"nonexistent",94.465,-41.8,4.961,5228.1,"no"
"94",25,"self-employed","married","yes","telephone","may","fri",2,999,0,"nonexistent",93.994,-36.4,4.857,5191,"no"
"95",30,"blue-collar","single","yes","telephone","jul","tue",5,999,0,"nonexistent",93.918,-42.7,4.961,5228.1,"no"
"96",43,"management","married","no","cellular","nov","tue",2,999,0,"nonexistent",93.2,-42,4.153,5195.8,"no"
"97",58,"retired","married","no","telephone","may","mon",3,999,0,"nonexistent",93.994,-36.4,4.857,5191,"no"
"98",31,"technician","married","yes","telephone","may","wed",6,999,0,"nonexistent",93.994,-36.4,4.856,5191,"no"
"99",53,"management","married","no","cellular","jul","tue",2,999,0,"nonexistent",93.918,-42.7,4.961,5228.1,"no"
"100",52,"admin.","married","no","cellular","aug","tue",1,999,0,"nonexistent",93.444,-36.1,4.968,5228.1,"no"
"101",37,"management","married","no","cellular","apr","fri",1,999,1,"failure",93.075,-47.1,1.405,5099.1,"no"
"102",58,"admin.","married","yes","cellular","jul","tue",1,999,0,"nonexistent",93.918,-42.7,4.961,5228.1,"no"
"103",37,"services","married","yes","cellular","may","thu",3,999,0,"nonexistent",92.893,-46.2,1.266,5099.1,"no"
"104",38,"admin.","single","yes","cellular","may","fri",1,999,0,"nonexistent",92.893,-46.2,1.313,5099.1,"no"
"105",33,"services","single","yes","cellular","apr","thu",2,999,0,"nonexistent",93.075,-47.1,1.41,5099.1,"no"
"106",45,"services","married","yes","cellular","may","fri",1,999,0,"nonexistent",92.893,-46.2,1.25,5099.1,"no"
"107",44,"entrepreneur","married","no","telephone","may","mon",1,999,0,"nonexistent",93.994,-36.4,4.858,5191,"no"
"108",38,"blue-collar","married","yes","telephone","jul","thu",2,999,0,"nonexistent",93.918,-42.7,4.966,5228.1,"no"
"109",34,"blue-collar","married","no","telephone","jun","tue",1,999,0,"nonexistent",94.055,-39.8,0.702,4991.6,"no"
"110",47,"management","married","yes","cellular","jul","wed",1,999,0,"nonexistent",92.469,-33.6,1.029,5076.2,"no"
"111",59,"admin.","married","yes","cellular","jul","wed",1,999,0,"nonexistent",92.469,-33.6,1.085,5076.2,"no"
"112",51,"blue-collar","married","yes","cellular","aug","thu",2,999,0,"nonexistent",93.444,-36.1,4.964,5228.1,"no"
"113",31,"blue-collar","married","yes","telephone","jun","wed",2,999,0,"nonexistent",94.465,-41.8,4.864,5228.1,"no"
"114",56,"management","married","yes","cellular","nov","wed",1,999,1,"failure",93.2,-42,4.12,5195.8,"no"
"115",39,"admin.","married","no","telephone","jun","mon",2,999,0,"nonexistent",94.465,-41.8,4.961,5228.1,"no"
"116",41,"entrepreneur","married","yes","cellular","nov","tue",1,999,0,"nonexistent",93.2,-42,4.153,5195.8,"yes"
"117",41,"management","divorced","yes","cellular","nov","thu",1,999,0,"nonexistent",93.2,-42,4.076,5195.8,"no"
"118",53,"services","married","no","telephone","may","thu",4,999,0,"nonexistent",93.994,-36.4,4.86,5191,"no"
"119",35,"blue-collar","married","no","cellular","jul","mon",4,999,0,"nonexistent",93.918,-42.7,4.962,5228.1,"no"
"120",58,"retired","married","no","cellular","may","wed",1,999,0,"nonexistent",92.893,-46.2,1.334,5099.1,"no"
"121",25,"self-employed","married","yes","telephone","jun","wed",2,999,0,"nonexistent",94.465,-41.8,4.959,5228.1,"no"
"122",35,"blue-collar","divorced","yes","cellular","may","tue",1,999,1,"failure",92.893,-46.2,1.344,5099.1,"no"
"123",28,"services","single","no","cellular","jul","wed",1,999,0,"nonexistent",93.918,-42.7,4.963,5228.1,"no"
"124",55,"blue-collar","married","yes","cellular","may","fri",3,999,1,"failure",92.893,-46.2,1.25,5099.1,"no"
"125",54,"entrepreneur","married","no","telephone","may","thu",1,999,0,"nonexistent",93.994,-36.4,4.855,5191,"no"
"126",45,"technician","divorced","no","cellular","jul","wed",2,999,0,"nonexistent",93.918,-42.7,4.962,5228.1,"no"
"127",32,"blue-collar","married","yes","cellular","apr","thu",1,999,1,"failure",93.075,-47.1,1.41,5099.1,"no"
"128",50,"admin.","married","yes","cellular","aug","thu",3,999,0,"nonexistent",93.444,-36.1,4.963,5228.1,"no"
"129",75,"retired","married","no","cellular","apr","tue",1,999,1,"failure",93.075,-47.1,1.405,5099.1,"yes"
"130",33,"self-employed","divorced","no","telephone","may","wed",4,999,0,"nonexistent",93.994,-36.4,4.858,5191,"no"
"131",29,"management","married","no","cellular","aug","wed",2,999,0,"nonexistent",93.444,-36.1,4.967,5228.1,"no"
"132",45,"management","married","yes","cellular","may","thu",1,999,0,"nonexistent",92.893,-46.2,1.327,5099.1,"no"
"133",38,"admin.","divorced","no","cellular","apr","mon",1,999,0,"nonexistent",93.075,-47.1,1.392,5099.1,"yes"
"134",24,"services","single","yes","telephone","may","mon",1,999,0,"nonexistent",93.994,-36.4,4.858,5191,"no"
"135",41,"technician","married","yes","cellular","aug","mon",1,999,0,"nonexistent",93.444,-36.1,4.963,5228.1,"no"
"136",58,"retired","divorced","yes","cellular","jun","tue",1,999,0,"nonexistent",92.963,-40.8,1.262,5076.2,"yes"
"137",34,"admin.","married","no","telephone","may","wed",2,999,0,"nonexistent",93.994,-36.4,4.857,5191,"no"
"138",34,"admin.","married","no","cellular","nov","mon",2,999,0,"nonexistent",94.767,-50.8,1.05,4963.6,"no"
"139",37,"technician","divorced","no","telephone","may","wed",1,999,0,"nonexistent",93.994,-36.4,4.856,5191,"no"
"140",53,"blue-collar","divorced","no","telephone","jun","wed",1,999,0,"nonexistent",94.465,-41.8,4.959,5228.1,"yes"
"141",54,"technician","divorced","yes","cellular","jul","tue",14,999,0,"nonexistent",93.918,-42.7,4.961,5228.1,"no"
"142",32,"technician","divorced","yes","cellular","nov","tue",1,999,0,"nonexistent",93.2,-42,4.153,5195.8,"no"
"143",42,"admin.","married","yes","cellular","jul","fri",6,999,0,"nonexistent",93.918,-42.7,4.962,5228.1,"no"
"144",28,"technician","single","yes","cellular","aug","thu",2,3,1,"success",92.201,-31.4,0.851,5076.2,"yes"
"145",33,"services","single","yes","telephone","may","fri",1,999,0,"nonexistent",93.994,-36.4,4.864,5191,"no"
"146",41,"blue-collar","married","yes","cellular","apr","mon",2,999,0,"nonexistent",93.075,-47.1,1.405,5099.1,"no"
"147",31,"services","married","no","cellular","nov","thu",1,999,0,"nonexistent",93.2,-42,4.076,5195.8,"no"
"148",40,"technician","married","no","telephone","may","thu",4,999,0,"nonexistent",93.994,-36.4,4.86,5191,"no"
"149",53,"unknown","married","no","cellular","nov","wed",1,999,1,"failure",92.649,-30.1,0.716,5017.5,"no"
"150",40,"admin.","divorced","yes","cellular","aug","mon",1,999,0,"nonexistent",93.444,-36.1,4.965,5228.1,"no"
"151",82,"housemaid","married","no","telephone","sep","tue",3,3,2,"success",94.199,-37.5,0.877,4963.6,"yes"
"152",28,"blue-collar","married","yes","cellular","jul","mon",1,999,0,"nonexistent",93.918,-42.7,4.96,5228.1,"no"
"153",30,"admin.","married","yes","cellular","nov","wed",3,999,0,"nonexistent",93.2,-42,4.12,5195.8,"no"
"154",31,"unemployed","single","yes","cellular","jul","tue",1,6,3,"success",94.215,-40.3,0.835,4991.6,"yes"
"155",32,"technician","single","yes","cellular","aug","wed",1,999,0,"nonexistent",93.444,-36.1,4.965,5228.1,"no"
"156",54,"blue-collar","married","yes","cellular","aug","tue",1,999,0,"nonexistent",93.444,-36.1,4.963,5228.1,"no"
"157",31,"blue-collar","married","no","cellular","jul","wed",1,999,0,"nonexistent",93.918,-42.7,4.963,5228.1,"no"
"158",50,"services","married","yes","cellular","aug","thu",2,999,0,"nonexistent",93.444,-36.1,4.968,5228.1,"no"
"159",47,"technician","single","no","cellular","jul","tue",2,999,0,"nonexistent",93.918,-42.7,4.961,5228.1,"no"
"160",31,"admin.","single","yes","cellular","may","wed",1,999,0,"nonexistent",92.893,-46.2,1.281,5099.1,"no"
"161",32,"unemployed","married","yes","cellular","nov","thu",1,999,0,"nonexistent",93.2,-42,4.076,5195.8,"no"
"162",46,"admin.","single","yes","cellular","nov","mon",2,999,2,"failure",94.767,-50.8,1.048,4963.6,"no"
"163",47,"admin.","single","no","cellular","may","mon",2,999,0,"nonexistent",92.893,-46.2,1.299,5099.1,"no"
"164",32,"admin.","single","no","cellular","nov","mon",2,999,2,"failure",94.767,-50.8,1.048,4963.6,"no"
"165",52,"services","divorced","no","cellular","nov","mon",1,999,0,"nonexistent",93.2,-42,4.191,5195.8,"no"
"166",45,"admin.","married","yes","cellular","oct","fri",3,6,1,"success",94.601,-49.5,1.029,4963.6,"yes"
"167",32,"admin.","married","yes","cellular","may","fri",2,999,0,"nonexistent",92.893,-46.2,1.313,5099.1,"no"
"168",71,"blue-collar","divorced","no","cellular","aug","thu",1,999,0,"nonexistent",94.027,-38.3,0.904,4991.6,"no"
"169",49,"services","married","yes","telephone","may","fri",2,999,0,"nonexistent",93.994,-36.4,4.855,5191,"no"
"170",46,"admin.","married","yes","telephone","jun","wed",10,999,0,"nonexistent",94.465,-41.8,4.864,5228.1,"no"
"171",46,"blue-collar","married","no","cellular","nov","fri",1,999,0,"nonexistent",94.767,-50.8,1.028,4963.6,"no"
"172",38,"admin.","married","yes","cellular","aug","tue",6,999,0,"nonexistent",93.444,-36.1,4.965,5228.1,"no"
"173",57,"services","married","no","cellular","aug","mon",2,999,0,"nonexistent",93.444,-36.1,4.965,5228.1,"no"
"174",41,"services","single","unknown","cellular","may","mon",2,999,1,"failure",92.893,-46.2,1.299,5099.1,"no"
"175",44,"technician","married","no","telephone","may","fri",3,999,0,"nonexistent",93.994,-36.4,4.864,5191,"no"
"176",47,"technician","married","yes","cellular","aug","wed",7,999,0,"nonexistent",93.444,-36.1,4.964,5228.1,"no"
"177",40,"blue-collar","married","yes","telephone","may","wed",2,999,0,"nonexistent",93.994,-36.4,4.858,5191,"no"
"178",57,"retired","single","yes","telephone","may","mon",1,999,0,"nonexistent",93.994,-36.4,4.857,5191,"no"
"179",27,"admin.","single","no","cellular","mar","tue",1,3,1,"success",93.369,-34.8,0.637,5008.7,"yes"
"180",52,"blue-collar","married","no","cellular","aug","fri",1,999,0,"nonexistent",93.444,-36.1,4.966,5228.1,"yes"
"181",34,"management","married","yes","telephone","jun","wed",1,999,0,"nonexistent",92.963,-40.8,1.26,5076.2,"no"
"182",42,"entrepreneur","married","yes","telephone","may","tue",1,999,0,"nonexistent",93.994,-36.4,4.857,5191,"no"
"183",51,"technician","married","yes","telephone","jun","fri",3,999,0,"nonexistent",94.465,-41.8,4.959,5228.1,"no"
"184",45,"management","married","yes","telephone","may","fri",1,999,0,"nonexistent",93.994,-36.4,4.855,5191,"no"
"185",56,"retired","married","no","cellular","may","mon",1,999,0,"nonexistent",92.893,-46.2,1.244,5099.1,"no"
"186",41,"management","married","yes","cellular","may","thu",1,999,0,"nonexistent",92.893,-46.2,1.327,5099.1,"no"
"187",44,"admin.","married","yes","cellular","aug","fri",1,999,0,"nonexistent",93.444,-36.1,4.964,5228.1,"no"
"188",50,"blue-collar","married","yes","cellular","may","mon",3,3,1,"success",92.893,-46.2,1.354,5099.1,"yes"
"189",54,"self-employed","married","no","cellular","aug","tue",3,999,0,"nonexistent",93.444,-36.1,4.963,5228.1,"no"
"190",51,"blue-collar","married","no","cellular","aug","fri",1,999,0,"nonexistent",93.444,-36.1,4.964,5228.1,"no"
"191",30,"blue-collar","single","no","cellular","nov","wed",1,999,0,"nonexistent",93.2,-42,4.12,5195.8,"no"
"192",42,"housemaid","married","yes","telephone","jun","fri",8,999,0,"nonexistent",94.465,-41.8,4.959,5228.1,"no"
"193",41,"technician","married","yes","telephone","jun","mon",11,999,0,"nonexistent",94.465,-41.8,4.865,5228.1,"no"
"194",47,"services","single","no","cellular","nov","tue",2,999,0,"nonexistent",93.2,-42,4.153,5195.8,"no"
"195",35,"blue-collar","married","yes","cellular","apr","fri",1,999,1,"failure",93.075,-47.1,1.405,5099.1,"no"
"196",58,"blue-collar","married","no","cellular","nov","tue",1,999,1,"failure",93.2,-42,4.153,5195.8,"no"
"197",50,"blue-collar","divorced","yes","cellular","jul","mon",2,999,0,"nonexistent",93.918,-42.7,4.96,5228.1,"yes"
"198",41,"technician","married","no","telephone","may","tue",1,999,0,"nonexistent",93.994,-36.4,4.856,5191,"no"
"199",38,"technician","married","yes","cellular","may","wed",1,999,0,"nonexistent",92.893,-46.2,1.334,5099.1,"no"
"200",32,"student","single","no","cellular","nov","thu",2,999,0,"nonexistent",93.2,-42,4.076,5195.8,"no"
"201",21,"student","single","no","cellular","aug","tue",1,999,1,"failure",92.201,-31.4,0.884,5076.2,"no"
"202",46,"admin.","divorced","no","telephone","may","wed",1,999,0,"nonexistent",93.994,-36.4,4.856,5191,"no"
"203",42,"self-employed","married","yes","cellular","nov","fri",3,999,0,"nonexistent",93.2,-42,4.021,5195.8,"no"
"204",55,"services","married","no","cellular","aug","wed",13,999,0,"nonexistent",93.444,-36.1,4.964,5228.1,"no"
"205",29,"admin.","single","yes","telephone","nov","mon",1,6,1,"success",94.767,-50.8,1.05,4963.6,"no"
"206",30,"blue-collar","single","yes","telephone","jun","wed",1,999,0,"nonexistent",94.465,-41.8,4.959,5228.1,"no"
"207",53,"management","married","yes","cellular","nov","wed",1,999,0,"nonexistent",93.2,-42,4.12,5195.8,"no"
"208",35,"management","married","yes","cellular","nov","wed",2,999,0,"nonexistent",93.2,-42,4.12,5195.8,"no"
"209",46,"services","married","yes","telephone","may","tue",4,999,0,"nonexistent",93.994,-36.4,4.856,5191,"no"
"210",30,"blue-collar","married","no","telephone","may","wed",2,999,0,"nonexistent",93.994,-36.4,4.857,5191,"no"
"211",43,"entrepreneur","married","yes","cellular","jul","tue",1,999,0,"nonexistent",93.918,-42.7,4.961,5228.1,"no"
"212",42,"services","married","yes","cellular","jul","mon",4,999,0,"nonexistent",93.918,-42.7,4.96,5228.1,"no"
"213",32,"technician","married","no","cellular","jul","tue",1,999,0,"nonexistent",93.918,-42.7,4.962,5228.1,"no"
"214",41,"blue-collar","divorced","yes","cellular","may","fri",1,999,1,"failure",92.893,-46.2,1.313,5099.1,"no"
"215",28,"admin.","married","no","cellular","may","tue",3,999,1,"failure",92.893,-46.2,1.291,5099.1,"no"
"216",24,"services","single","no","cellular","jul","thu",6,999,0,"nonexistent",93.918,-42.7,4.963,5228.1,"no"
"217",43,"management","married","yes","cellular","apr","fri",1,999,0,"nonexistent",93.075,-47.1,1.405,5099.1,"no"
"218",30,"admin.","single","yes","cellular","aug","mon",1,999,0,"nonexistent",93.444,-36.1,4.97,5228.1,"no"
"219",55,"blue-collar","married","no","cellular","nov","tue",2,999,0,"nonexistent",93.2,-42,4.153,5195.8,"no"
"220",51,"retired","married","no","cellular","jul","fri",1,999,0,"nonexistent",93.918,-42.7,4.959,5228.1,"no"
"221",22,"student","single","no","cellular","jul","fri",2,999,0,"nonexistent",93.918,-42.7,4.957,5228.1,"no"
"222",32,"entrepreneur","single","no","cellular","nov","thu",1,999,0,"nonexistent",93.2,-42,4.076,5195.8,"no"
"223",43,"admin.","married","no","cellular","jul","thu",3,999,0,"nonexistent",93.918,-42.7,4.968,5228.1,"no"
"224",39,"management","married","no","telephone","jun","mon",5,999,0,"nonexistent",94.465,-41.8,4.865,5228.1,"no"
"225",52,"blue-collar","divorced","no","cellular","jul","tue",8,999,0,"nonexistent",93.918,-42.7,4.961,5228.1,"no"
"226",38,"technician","single","yes","cellular","may","mon",3,999,1,"failure",92.893,-46.2,1.244,5099.1,"no"
"227",59,"retired","married","no","telephone","apr","tue",4,999,0,"nonexistent",93.075,-47.1,1.453,5099.1,"no"
"228",31,"blue-collar","married","yes","telephone","may","wed",2,999,0,"nonexistent",93.994,-36.4,4.857,5191,"no"
"229",76,"retired","single","no","cellular","nov","mon",4,6,1,"success",92.649,-30.1,0.715,5017.5,"yes"
"230",44,"unknown","single","yes","telephone","jun","mon",3,999,0,"nonexistent",94.465,-41.8,4.96,5228.1,"no"
"231",30,"blue-collar","married","no","telephone","may","fri",2,999,0,"nonexistent",93.994,-36.4,4.864,5191,"no"
"232",32,"services","married","no","telephone","jun","fri",1,999,0,"nonexistent",94.465,-41.8,4.959,5228.1,"no"
"233",41,"unemployed","married","no","telephone","jun","fri",3,999,0,"nonexistent",94.465,-41.8,4.967,5228.1,"no"
"234",33,"admin.","single","yes","cellular","aug","thu",4,999,0,"nonexistent",93.444,-36.1,4.963,5228.1,"yes"
"235",59,"retired","married","yes","cellular","aug","fri",1,999,0,"nonexistent",93.444,-36.1,4.963,5228.1,"no"
"236",28,"blue-collar","married","yes","cellular","jul","mon",3,999,0,"nonexistent",93.918,-42.7,4.96,5228.1,"no"
