age,job,marital,housing,contact,month,day_of_week,campaign,pdays,previous,poutcome,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y
47,1,3,1,2,7,3,1,999,0,2,93.994,-36.4,4.86,5191,0
34,1,2,1,1,2,4,1,999,0,2,93.444,-36.1,4.963,5228.1,0
38,10,2,3,1,6,4,1,999,1,1,92.843,-50,1.687,5099.1,0
33,8,2,3,2,5,2,3,999,0,2,94.465,-41.8,4.865,5228.1,0
51,10,3,1,1,5,1,2,999,0,2,92.963,-40.8,1.268,5076.2,0
30,2,3,3,2,5,4,1,999,0,2,94.465,-41.8,4.864,5228.1,0
48,10,2,1,1,2,3,7,999,0,2,93.444,-36.1,4.962,5228.1,0
28,2,3,3,2,5,5,1,999,0,2,94.465,-41.8,4.864,5228.1,0
36,2,2,3,2,7,5,1,999,0,2,93.994,-36.4,4.859,5191,0
46,5,1,1,1,8,5,1,999,0,2,93.2,-42,4.12,5195.8,0
31,10,3,3,1,7,5,1,999,1,1,92.893,-46.2,1.334,5099.1,0
20,9,3,1,1,9,2,3,999,3,1,94.601,-49.5,0.977,4963.6,0
35,8,2,3,1,7,4,1,999,0,2,92.893,-46.2,1.344,5099.1,0
38,2,2,2,2,5,1,1,999,0,2,94.465,-41.8,4.967,5228.1,0
76,6,2,1,1,2,3,1,999,1,1,94.027,-38.3,0.899,4991.6,0
45,3,1,3,1,4,4,3,999,0,2,93.918,-42.7,4.961,5228.1,0
32,4,2,3,1,7,1,1,999,0,2,92.893,-46.2,1.313,5099.1,0
39,5,3,1,1,7,3,2,999,0,2,92.893,-46.2,1.327,5099.1,0
32,1,2,1,2,8,3,1,999,0,2,93.2,-42,4.592,5195.8,0
29,1,3,1,1,7,2,2,999,0,2,92.893,-46.2,1.299,5099.1,0
44,8,2,1,1,2,2,2,999,0,2,93.444,-36.1,4.97,5228.1,0
32,8,2,1,1,4,1,3,999,0,2,93.918,-42.7,4.957,5228.1,0
56,6,2,3,1,5,5,1,999,2,1,92.963,-40.8,1.26,5076.2,0
33,2,2,3,1,7,3,1,999,0,2,92.893,-46.2,1.327,5099.1,0
39,5,2,1,1,2,1,3,999,0,2,93.444,-36.1,4.966,5228.1,0
24,10,2,3,1,10,4,2,3,1,3,92.379,-29.8,0.77,5017.5,1
33,1,3,3,1,7,3,1,999,0,2,92.893,-46.2,1.327,5099.1,0
58,3,1,1,2,5,3,2,999,0,2,94.465,-41.8,4.866,5228.1,0
29,1,3,3,2,5,1,27,999,0,2,94.465,-41.8,4.959,5228.1,0
31,1,2,3,1,2,3,1,999,0,2,93.444,-36.1,4.964,5228.1,0
27,1,2,1,2,7,5,5,999,0,2,93.994,-36.4,4.857,5191,0
60,1,1,3,1,10,5,1,999,1,1,94.199,-37.5,0.886,4963.6,1
55,3,2,3,1,9,2,1,999,2,1,92.431,-26.9,0.739,5017.5,0
37,2,2,3,1,7,5,2,999,0,2,92.893,-46.2,1.334,5099.1,0
52,1,2,3,2,1,5,1,6,1,3,93.749,-34.6,0.654,5008.7,1
46,8,2,3,1,1,2,1,999,0,2,93.075,-47.1,1.405,5099.1,0
42,2,1,3,1,7,5,2,999,0,2,92.893,-46.2,1.281,5099.1,0
35,1,3,3,1,4,2,3,999,0,2,93.918,-42.7,4.96,5228.1,0
49,10,1,3,1,9,3,1,999,0,2,92.431,-26.9,0.754,5017.5,0
29,8,1,1,2,5,2,3,999,0,2,94.465,-41.8,4.865,5228.1,0
32,2,2,1,1,8,2,2,5,1,3,93.2,-42,4.191,5195.8,1
37,7,2,1,1,7,1,1,999,1,1,92.893,-46.2,1.313,5099.1,0
39,10,3,1,2,5,2,4,999,0,2,94.465,-41.8,4.865,5228.1,1
51,8,2,3,2,4,2,3,999,0,2,93.918,-42.7,4.962,5228.1,1
28,1,3,3,1,7,4,3,999,0,2,92.893,-46.2,1.291,5099.1,0
34,5,2,3,1,7,5,4,999,0,2,92.893,-46.2,1.281,5099.1,0
31,10,3,3,1,2,4,1,999,0,2,93.444,-36.1,4.966,5228.1,1
31,1,2,3,1,2,3,5,999,0,2,93.444,-36.1,4.962,5228.1,0
31,1,3,3,2,5,5,2,999,0,2,94.465,-41.8,4.864,5228.1,0
38,7,3,1,2,7,3,2,999,0,2,93.994,-36.4,4.855,5191,0
33,11,2,1,2,5,1,6,999,0,2,94.465,-41.8,4.959,5228.1,0
32,10,3,1,1,2,4,12,999,0,2,93.444,-36.1,4.966,5228.1,0
54,10,2,3,1,1,2,1,999,0,2,93.075,-47.1,1.405,5099.1,0
41,1,1,3,2,5,4,2,999,0,2,94.465,-41.8,4.961,5228.1,0
59,8,2,1,1,2,3,7,999,0,2,93.444,-36.1,4.963,5228.1,0
57,6,2,3,1,1,3,1,2,1,3,93.075,-47.1,1.365,5099.1,0
38,3,1,3,1,8,3,1,999,0,2,93.2,-42,4.076,5195.8,0
46,1,2,3,2,7,4,1,999,0,2,93.994,-36.4,4.857,5191,0
37,11,3,3,1,8,4,1,999,0,2,93.2,-42,4.153,5195.8,0
47,8,3,2,2,5,3,3,999,0,2,94.465,-41.8,4.961,5228.1,1
45,1,3,1,1,2,3,1,999,0,2,93.444,-36.1,4.964,5228.1,1
36,2,2,3,2,4,5,1,999,0,2,93.918,-42.7,4.962,5228.1,0
40,11,3,3,1,4,2,5,999,0,2,93.918,-42.7,4.96,5228.1,0
38,2,2,1,1,8,4,2,999,1,1,93.2,-42,4.153,5195.8,0
44,2,2,1,2,5,4,2,999,0,2,94.465,-41.8,4.961,5228.1,0
25,7,2,3,2,7,1,2,999,0,2,93.994,-36.4,4.857,5191,0
30,2,3,3,2,4,4,5,999,0,2,93.918,-42.7,4.961,5228.1,0
43,5,2,1,1,8,4,2,999,0,2,93.2,-42,4.153,5195.8,0
58,6,2,1,2,7,2,3,999,0,2,93.994,-36.4,4.857,5191,0
31,10,2,3,2,7,5,6,999,0,2,93.994,-36.4,4.856,5191,0
53,5,2,1,1,4,4,2,999,0,2,93.918,-42.7,4.961,5228.1,0
52,1,2,1,1,2,4,1,999,0,2,93.444,-36.1,4.968,5228.1,0
37,5,2,1,1,1,1,1,999,1,1,93.075,-47.1,1.405,5099.1,0
58,1,2,3,1,4,4,1,999,0,2,93.918,-42.7,4.961,5228.1,0
37,8,2,3,1,7,3,3,999,0,2,92.893,-46.2,1.266,5099.1,0
38,1,3,3,1,7,1,1,999,0,2,92.893,-46.2,1.313,5099.1,0
33,8,3,3,1,1,3,2,999,0,2,93.075,-47.1,1.41,5099.1,0
45,8,2,3,1,7,1,1,999,0,2,92.893,-46.2,1.25,5099.1,0
44,3,2,1,2,7,2,1,999,0,2,93.994,-36.4,4.858,5191,0
38,2,2,3,2,4,3,2,999,0,2,93.918,-42.7,4.966,5228.1,0
34,2,2,1,2,5,4,1,999,0,2,94.055,-39.8,0.702,4991.6,0
47,5,2,3,1,4,5,1,999,0,2,92.469,-33.6,1.029,5076.2,0
59,1,2,3,1,4,5,1,999,0,2,92.469,-33.6,1.085,5076.2,0
51,2,2,3,1,2,3,2,999,0,2,93.444,-36.1,4.964,5228.1,0
31,2,2,3,2,5,5,2,999,0,2,94.465,-41.8,4.864,5228.1,0
56,5,2,3,1,8,5,1,999,1,1,93.2,-42,4.12,5195.8,0
39,1,2,1,2,5,2,2,999,0,2,94.465,-41.8,4.961,5228.1,0
41,3,2,3,1,8,4,1,999,0,2,93.2,-42,4.153,5195.8,1
41,5,1,3,1,8,3,1,999,0,2,93.2,-42,4.076,5195.8,0
53,8,2,1,2,7,3,4,999,0,2,93.994,-36.4,4.86,5191,0
35,2,2,1,1,4,2,4,999,0,2,93.918,-42.7,4.962,5228.1,0
58,6,2,1,1,7,5,1,999,0,2,92.893,-46.2,1.334,5099.1,0
25,7,2,3,2,5,5,2,999,0,2,94.465,-41.8,4.959,5228.1,0
35,2,1,3,1,7,4,1,999,1,1,92.893,-46.2,1.344,5099.1,0
28,8,3,1,1,4,5,1,999,0,2,93.918,-42.7,4.963,5228.1,0
55,2,2,3,1,7,1,3,999,1,1,92.893,-46.2,1.25,5099.1,0
54,3,2,1,2,7,3,1,999,0,2,93.994,-36.4,4.855,5191,0
45,10,1,1,1,4,5,2,999,0,2,93.918,-42.7,4.962,5228.1,0
32,2,2,3,1,1,3,1,999,1,1,93.075,-47.1,1.41,5099.1,0
50,1,2,3,1,2,3,3,999,0,2,93.444,-36.1,4.963,5228.1,0
75,6,2,1,1,1,4,1,999,1,1,93.075,-47.1,1.405,5099.1,1
33,7,1,1,2,7,5,4,999,0,2,93.994,-36.4,4.858,5191,0
29,5,2,1,1,2,5,2,999,0,2,93.444,-36.1,4.967,5228.1,0
45,5,2,3,1,7,3,1,999,0,2,92.893,-46.2,1.327,5099.1,0
38,1,1,1,1,1,2,1,999,0,2,93.075,-47.1,1.392,5099.1,1
24,8,3,3,2,7,2,1,999,0,2,93.994,-36.4,4.858,5191,0
41,10,2,3,1,2,2,1,999,0,2,93.444,-36.1,4.963,5228.1,0
58,6,1,3,1,5,4,1,999,0,2,92.963,-40.8,1.262,5076.2,1
34,1,2,1,2,7,5,2,999,0,2,93.994,-36.4,4.857,5191,0
34,1,2,1,1,8,2,2,999,0,2,94.767,-50.8,1.05,4963.6,0
37,10,1,1,2,7,5,1,999,0,2,93.994,-36.4,4.856,5191,0
53,2,1,1,2,5,5,1,999,0,2,94.465,-41.8,4.959,5228.1,1
54,10,1,3,1,4,4,14,999,0,2,93.918,-42.7,4.961,5228.1,0
32,10,1,3,1,8,4,1,999,0,2,93.2,-42,4.153,5195.8,0
42,1,2,3,1,4,1,6,999,0,2,93.918,-42.7,4.962,5228.1,0
28,10,3,3,1,2,3,2,3,1,3,92.201,-31.4,0.851,5076.2,1
33,8,3,3,2,7,1,1,999,0,2,93.994,-36.4,4.864,5191,0
41,2,2,3,1,1,2,2,999,0,2,93.075,-47.1,1.405,5099.1,0
31,8,2,1,1,8,3,1,999,0,2,93.2,-42,4.076,5195.8,0
40,10,2,1,2,7,3,4,999,0,2,93.994,-36.4,4.86,5191,0
53,12,2,1,1,8,5,1,999,1,1,92.649,-30.1,0.716,5017.5,0
40,1,1,3,1,2,2,1,999,0,2,93.444,-36.1,4.965,5228.1,0
82,4,2,1,2,10,4,3,3,2,3,94.199,-37.5,0.877,4963.6,1
28,2,2,3,1,4,2,1,999,0,2,93.918,-42.7,4.96,5228.1,0
30,1,2,3,1,8,5,3,999,0,2,93.2,-42,4.12,5195.8,0
31,11,3,3,1,4,4,1,6,3,3,94.215,-40.3,0.835,4991.6,1
32,10,3,3,1,2,5,1,999,0,2,93.444,-36.1,4.965,5228.1,0
54,2,2,3,1,2,4,1,999,0,2,93.444,-36.1,4.963,5228.1,0
31,2,2,1,1,4,5,1,999,0,2,93.918,-42.7,4.963,5228.1,0
50,8,2,3,1,2,3,2,999,0,2,93.444,-36.1,4.968,5228.1,0
47,10,3,1,1,4,4,2,999,0,2,93.918,-42.7,4.961,5228.1,0
31,1,3,3,1,7,5,1,999,0,2,92.893,-46.2,1.281,5099.1,0
32,11,2,3,1,8,3,1,999,0,2,93.2,-42,4.076,5195.8,0
46,1,3,3,1,8,2,2,999,2,1,94.767,-50.8,1.048,4963.6,0
47,1,3,1,1,7,2,2,999,0,2,92.893,-46.2,1.299,5099.1,0
32,1,3,1,1,8,2,2,999,2,1,94.767,-50.8,1.048,4963.6,0
52,8,1,1,1,8,2,1,999,0,2,93.2,-42,4.191,5195.8,0
45,1,2,3,1,9,1,3,6,1,3,94.601,-49.5,1.029,4963.6,1
32,1,2,3,1,7,1,2,999,0,2,92.893,-46.2,1.313,5099.1,0
71,2,1,1,1,2,3,1,999,0,2,94.027,-38.3,0.904,4991.6,0
49,8,2,3,2,7,1,2,999,0,2,93.994,-36.4,4.855,5191,0
46,1,2,3,2,5,5,10,999,0,2,94.465,-41.8,4.864,5228.1,0
46,2,2,1,1,8,1,1,999,0,2,94.767,-50.8,1.028,4963.6,0
38,1,2,3,1,2,4,6,999,0,2,93.444,-36.1,4.965,5228.1,0
57,8,2,1,1,2,2,2,999,0,2,93.444,-36.1,4.965,5228.1,0
41,8,3,2,1,7,2,2,999,1,1,92.893,-46.2,1.299,5099.1,0
44,10,2,1,2,7,1,3,999,0,2,93.994,-36.4,4.864,5191,0
47,10,2,3,1,2,5,7,999,0,2,93.444,-36.1,4.964,5228.1,0
40,2,2,3,2,7,5,2,999,0,2,93.994,-36.4,4.858,5191,0
57,6,3,3,2,7,2,1,999,0,2,93.994,-36.4,4.857,5191,0
27,1,3,1,1,6,4,1,3,1,3,93.369,-34.8,0.637,5008.7,1
52,2,2,1,1,2,1,1,999,0,2,93.444,-36.1,4.966,5228.1,1
34,5,2,3,2,5,5,1,999,0,2,92.963,-40.8,1.26,5076.2,0
42,3,2,3,2,7,4,1,999,0,2,93.994,-36.4,4.857,5191,0
51,10,2,3,2,5,1,3,999,0,2,94.465,-41.8,4.959,5228.1,0
45,5,2,3,2,7,1,1,999,0,2,93.994,-36.4,4.855,5191,0
56,6,2,1,1,7,2,1,999,0,2,92.893,-46.2,1.244,5099.1,0
41,5,2,3,1,7,3,1,999,0,2,92.893,-46.2,1.327,5099.1,0
44,1,2,3,1,2,1,1,999,0,2,93.444,-36.1,4.964,5228.1,0
50,2,2,3,1,7,2,3,3,1,3,92.893,-46.2,1.354,5099.1,1
54,7,2,1,1,2,4,3,999,0,2,93.444,-36.1,4.963,5228.1,0
51,2,2,1,1,2,1,1,999,0,2,93.444,-36.1,4.964,5228.1,0
30,2,3,1,1,8,5,1,999,0,2,93.2,-42,4.12,5195.8,0
42,4,2,3,2,5,1,8,999,0,2,94.465,-41.8,4.959,5228.1,0
41,10,2,3,2,5,2,11,999,0,2,94.465,-41.8,4.865,5228.1,0
47,8,3,1,1,8,4,2,999,0,2,93.2,-42,4.153,5195.8,0
35,2,2,3,1,1,1,1,999,1,1,93.075,-47.1,1.405,5099.1,0
58,2,2,1,1,8,4,1,999,1,1,93.2,-42,4.153,5195.8,0
50,2,1,3,1,4,2,2,999,0,2,93.918,-42.7,4.96,5228.1,1
41,10,2,1,2,7,4,1,999,0,2,93.994,-36.4,4.856,5191,0
38,10,2,3,1,7,5,1,999,0,2,92.893,-46.2,1.334,5099.1,0
32,9,3,1,1,8,3,2,999,0,2,93.2,-42,4.076,5195.8,0
21,9,3,1,1,2,4,1,999,1,1,92.201,-31.4,0.884,5076.2,0
46,1,1,1,2,7,5,1,999,0,2,93.994,-36.4,4.856,5191,0
42,7,2,3,1,8,1,3,999,0,2,93.2,-42,4.021,5195.8,0
55,8,2,1,1,2,5,13,999,0,2,93.444,-36.1,4.964,5228.1,0
29,1,3,3,2,8,2,1,6,1,3,94.767,-50.8,1.05,4963.6,0
30,2,3,3,2,5,5,1,999,0,2,94.465,-41.8,4.959,5228.1,0
53,5,2,3,1,8,5,1,999,0,2,93.2,-42,4.12,5195.8,0
35,5,2,3,1,8,5,2,999,0,2,93.2,-42,4.12,5195.8,0
46,8,2,3,2,7,4,4,999,0,2,93.994,-36.4,4.856,5191,0
30,2,2,1,2,7,5,2,999,0,2,93.994,-36.4,4.857,5191,0
43,3,2,3,1,4,4,1,999,0,2,93.918,-42.7,4.961,5228.1,0
42,8,2,3,1,4,2,4,999,0,2,93.918,-42.7,4.96,5228.1,0
32,10,2,1,1,4,4,1,999,0,2,93.918,-42.7,4.962,5228.1,0
41,2,1,3,1,7,1,1,999,1,1,92.893,-46.2,1.313,5099.1,0
28,1,2,1,1,7,4,3,999,1,1,92.893,-46.2,1.291,5099.1,0
24,8,3,1,1,4,3,6,999,0,2,93.918,-42.7,4.963,5228.1,0
43,5,2,3,1,1,1,1,999,0,2,93.075,-47.1,1.405,5099.1,0
30,1,3,3,1,2,2,1,999,0,2,93.444,-36.1,4.97,5228.1,0
55,2,2,1,1,8,4,2,999,0,2,93.2,-42,4.153,5195.8,0
51,6,2,1,1,4,1,1,999,0,2,93.918,-42.7,4.959,5228.1,0
22,9,3,1,1,4,1,2,999,0,2,93.918,-42.7,4.957,5228.1,0
32,3,3,1,1,8,3,1,999,0,2,93.2,-42,4.076,5195.8,0
43,1,2,1,1,4,3,3,999,0,2,93.918,-42.7,4.968,5228.1,0
39,5,2,1,2,5,2,5,999,0,2,94.465,-41.8,4.865,5228.1,0
52,2,1,1,1,4,4,8,999,0,2,93.918,-42.7,4.961,5228.1,0
38,10,3,3,1,7,2,3,999,1,1,92.893,-46.2,1.244,5099.1,0
59,6,2,1,2,1,4,4,999,0,2,93.075,-47.1,1.453,5099.1,0
31,2,2,3,2,7,5,2,999,0,2,93.994,-36.4,4.857,5191,0
76,6,3,1,1,8,2,4,6,1,3,92.649,-30.1,0.715,5017.5,1
44,12,3,3,2,5,2,3,999,0,2,94.465,-41.8,4.96,5228.1,0
30,2,2,1,2,7,1,2,999,0,2,93.994,-36.4,4.864,5191,0
32,8,2,1,2,5,1,1,999,0,2,94.465,-41.8,4.959,5228.1,0
41,11,2,1,2,5,1,3,999,0,2,94.465,-41.8,4.967,5228.1,0
33,1,3,3,1,2,3,4,999,0,2,93.444,-36.1,4.963,5228.1,1
59,6,2,3,1,2,1,1,999,0,2,93.444,-36.1,4.963,5228.1,0
28,2,2,3,1,4,2,3,999,0,2,93.918,-42.7,4.96,5228.1,0
33,2,3,3,1,7,1,2,999,0,2,92.893,-46.2,1.313,5099.1,0
53,8,2,3,1,2,3,1,999,0,2,93.444,-36.1,4.964,5228.1,0
41,8,2,1,1,6,5,6,999,0,2,92.843,-50,1.778,5099.1,1
55,12,2,1,1,4,3,1,999,0,2,93.918,-42.7,4.962,5228.1,0
45,2,2,1,2,7,4,1,999,0,2,93.994,-36.4,4.856,5191,0
35,10,2,1,1,4,3,4,999,0,2,93.918,-42.7,4.968,5228.1,0
31,8,2,1,1,4,2,3,999,0,2,93.918,-42.7,4.96,5228.1,0
53,5,2,1,1,2,2,4,999,0,2,93.444,-36.1,4.965,5228.1,0
35,10,3,3,1,7,3,1,999,0,2,92.893,-46.2,1.327,5099.1,0
45,2,1,3,1,7,3,1,999,0,2,92.893,-46.2,1.327,5099.1,0
34,4,3,1,2,5,3,2,999,0,2,94.465,-41.8,4.961,5228.1,0
42,1,2,1,2,1,2,3,999,1,1,93.075,-47.1,1.405,5099.1,0
36,7,2,3,1,8,3,3,999,0,2,93.2,-42,4.076,5195.8,0
44,1,2,1,2,7,5,3,999,0,2,93.994,-36.4,4.856,5191,0
50,1,1,3,1,2,4,2,999,0,2,93.444,-36.1,4.965,5228.1,0
36,1,2,3,1,10,1,1,999,0,2,92.379,-29.8,0.773,5017.5,0
27,10,2,1,1,4,3,9,999,0,2,93.918,-42.7,4.963,5228.1,0
40,5,2,1,2,7,1,3,999,0,2,93.994,-36.4,4.859,5191,0
25,10,3,3,2,5,2,6,999,0,2,94.465,-41.8,4.96,5228.1,0
29,5,2,3,1,2,4,2,999,0,2,93.444,-36.1,4.966,5228.1,0
44,1,2,1,2,7,5,3,999,0,2,93.994,-36.4,4.856,5191,0
57,2,2,3,2,7,4,2,999,0,2,93.994,-36.4,4.856,5191,0
30,1,3,3,1,4,5,1,999,0,2,93.918,-42.7,4.963,5228.1,0
37,7,2,3,1,2,5,2,999,0,2,93.444,-36.1,4.967,5228.1,0
57,10,2,1,1,4,4,1,999,0,2,93.918,-42.7,4.961,5228.1,0
32,10,2,3,1,4,3,1,999,0,2,93.918,-42.7,4.963,5228.1,1
54,1,2,1,1,8,4,2,10,1,3,94.767,-50.8,1.035,4963.6,1
58,2,2,3,1,2,2,1,999,0,2,93.444,-36.1,4.97,5228.1,1
29,1,3,3,1,2,4,5,999,0,2,93.444,-36.1,4.963,5228.1,0
60,8,2,1,1,2,4,1,999,0,2,93.444,-36.1,4.966,5228.1,0
27,11,3,1,2,5,5,2,999,0,2,94.465,-41.8,4.864,5228.1,0
30,11,2,3,1,4,4,3,999,0,2,93.918,-42.7,4.961,5228.1,0
42,2,2,1,2,7,5,1,999,0,2,93.994,-36.4,4.859,5191,0
48,4,2,1,2,5,4,1,999,0,2,94.465,-41.8,4.864,5228.1,0
35,1,3,1,1,2,2,2,999,0,2,93.444,-36.1,4.97,5228.1,0
46,2,2,3,2,7,2,1,999,0,2,93.994,-36.4,4.857,5191,0
57,6,4,1,2,7,4,1,999,0,2,93.994,-36.4,4.857,5191,0
30,8,2,1,2,5,2,3,999,0,2,94.465,-41.8,4.865,5228.1,0
28,10,3,3,1,1,3,4,999,1,1,93.075,-47.1,1.41,5099.1,0
34,8,2,3,2,7,4,1,999,0,2,93.994,-36.4,4.856,5191,0
42,2,2,1,2,5,3,1,999,0,2,94.465,-41.8,4.958,5228.1,0
30,1,3,3,1,8,4,1,999,0,2,93.2,-42,4.153,5195.8,0
27,9,3,3,1,2,5,1,999,0,2,94.027,-38.3,0.9,4991.6,0
23,3,2,3,1,2,3,1,999,0,2,93.444,-36.1,4.964,5228.1,0
43,2,2,3,2,7,4,1,999,0,2,93.994,-36.4,4.857,5191,0
59,5,2,3,2,7,4,1,999,0,2,93.994,-36.4,4.857,5191,0
31,7,3,1,1,2,2,1,999,2,1,94.027,-38.3,0.898,4991.6,0
43,7,2,1,2,7,5,2,999,0,2,93.994,-36.4,4.858,5191,0
52,10,2,3,2,7,2,2,999,0,2,93.994,-36.4,4.857,5191,0
26,4,3,3,2,4,3,1,999,0,2,93.918,-42.7,4.963,5228.1,0
24,2,2,3,2,7,1,6,999,0,2,93.994,-36.4,4.855,5191,0
35,2,3,1,1,8,3,1,999,1,1,93.2,-42,4.076,5195.8,0
59,10,2,1,1,5,3,4,999,1,1,94.055,-39.8,0.742,4991.6,1
28,2,2,1,2,7,3,1,999,0,2,93.994,-36.4,4.855,5191,0
37,2,3,1,2,7,5,2,999,0,2,93.994,-36.4,4.857,5191,0
46,1,2,1,1,1,1,1,999,1,1,93.075,-47.1,1.405,5099.1,0
26,10,3,3,1,4,1,3,6,2,3,94.215,-40.3,0.861,4991.6,1
40,5,2,3,1,2,3,6,999,0,2,93.444,-36.1,4.963,5228.1,0
56,2,2,3,1,4,4,2,999,0,2,93.918,-42.7,4.961,5228.1,0
40,5,2,3,1,7,4,1,999,0,2,92.893,-46.2,1.344,5099.1,0
29,1,3,3,2,7,5,2,999,0,2,93.994,-36.4,4.859,5191,0
28,2,3,3,1,7,3,1,999,1,1,92.893,-46.2,1.266,5099.1,0
48,10,3,1,2,7,3,7,999,0,2,93.994,-36.4,4.86,5191,0
28,11,3,3,1,7,2,1,999,0,2,92.893,-46.2,1.244,5099.1,0
33,10,2,1,2,7,3,4,999,0,2,93.994,-36.4,4.86,5191,0
56,3,2,3,2,5,3,1,999,0,2,94.465,-41.8,4.961,5228.1,0
57,6,2,1,1,2,4,4,999,0,2,93.444,-36.1,4.965,5228.1,1
24,1,3,3,2,4,3,1,999,0,2,93.918,-42.7,4.958,5228.1,0
39,7,2,1,2,7,5,2,999,0,2,93.994,-36.4,4.858,5191,0
40,2,2,3,2,7,2,1,999,0,2,93.994,-36.4,4.857,5191,0
54,2,1,3,2,5,3,3,999,0,2,94.465,-41.8,4.958,5228.1,0
25,1,3,1,2,5,5,2,999,0,2,94.465,-41.8,4.864,5228.1,0
36,2,2,1,1,7,5,3,999,1,1,92.893,-46.2,1.281,5099.1,1
48,1,2,3,1,8,5,1,999,0,2,93.2,-42,4.12,5195.8,0
32,1,3,3,1,2,3,1,999,0,2,93.444,-36.1,4.964,5228.1,0
48,1,2,3,1,4,1,2,999,0,2,93.918,-42.7,4.963,5228.1,0
30,10,2,3,2,7,5,3,999,0,2,93.994,-36.4,4.858,5191,0
41,1,1,1,2,7,4,2,999,0,2,93.994,-36.4,4.857,5191,0
54,6,1,3,1,4,4,1,999,0,2,93.918,-42.7,4.962,5228.1,0
29,1,3,3,1,6,2,1,999,0,2,93.369,-34.8,0.639,5008.7,1
28,2,3,3,2,5,2,2,999,0,2,94.465,-41.8,4.865,5228.1,0
30,1,2,1,2,7,4,2,999,0,2,93.994,-36.4,4.857,5191,0
54,1,2,3,2,7,3,3,999,0,2,93.994,-36.4,4.855,5191,0
33,3,2,1,2,7,4,1,999,0,2,93.994,-36.4,4.857,5191,0
38,2,2,1,1,7,5,1,11,1,3,92.893,-46.2,1.281,5099.1,0
46,4,1,3,2,5,4,8,999,0,2,94.465,-41.8,4.864,5228.1,0
38,1,1,1,2,5,1,3,999,0,2,94.465,-41.8,4.959,5228.1,0
38,8,2,1,1,4,3,1,999,0,2,93.918,-42.7,4.968,5228.1,0
33,2,2,3,2,7,5,1,999,0,2,93.994,-36.4,4.856,5191,0
25,1,2,1,2,7,1,1,999,0,2,93.994,-36.4,4.864,5191,0
29,1,3,3,1,7,1,10,999,0,2,92.893,-46.2,1.25,5099.1,0
60,10,2,1,2,4,4,15,999,0,2,93.918,-42.7,4.961,5228.1,0
57,8,2,3,1,7,2,2,999,0,2,92.893,-46.2,1.244,5099.1,0
36,1,3,1,1,2,5,1,999,0,2,93.444,-36.1,4.965,5228.1,0
54,1,2,1,1,4,3,5,999,0,2,93.918,-42.7,4.968,5228.1,0
25,7,3,1,2,7,4,3,999,0,2,93.994,-36.4,4.856,5191,0
41,3,2,1,2,7,5,4,999,0,2,93.994,-36.4,4.856,5191,0
54,5,2,3,1,1,4,1,999,0,2,93.075,-47.1,1.405,5099.1,0
